_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
367,15,sachsen-anhalt,15003,magdeburg,2.0,15.7,25.9
368,15,sachsen-anhalt,15081,altmarkkreis salzwedel,1.4,10.9,14.1
369,15,sachsen-anhalt,15082,anhalt-bitterfeld,1.0,13.0,21.1
370,15,sachsen-anhalt,15083,boerde,1.1,9.2,12.5
371,15,sachsen-anhalt,15084,burgenlandkreis,1.0,12.6,19.6
372,15,sachsen-anhalt,15085,harz,1.1,10.8,14.9
373,15,sachsen-anhalt,15086,jerichower land,0.8,10.6,15.9
374,15,sachsen-anhalt,15087,mansfeld-suedharz,0.9,14.4,24.2
375,15,sachsen-anhalt,15088,saalekreis,0.8,11.2,17.7
376,15,sachsen-anhalt,15089,salzlandkreis,1.2,14.6,22.1
377,15,sachsen-anhalt,15090,stendal,1.4,15.0,23.0
378,15,sachsen-anhalt,15091,wittenberg,1.0,11.3,19.0
379,16,thueringen,16051,erfurt,1.9,12.7,20.8
380,16,thueringen,16052,gera,1.0,15.2,25.7
381,16,thueringen,16053,jena,1.6,9.2,12.9
382,16,thueringen,16054,suhl,0.7,8.2,13.1
383,16,thueringen,16055,weimar,1.6,11.4,16.5
384,16,thueringen,16056,eisenach,1.5,12.7,20.8
385,16,thueringen,16061,eichsfeld,1.0,6.4,7.6
386,16,thueringen,16062,nordhausen,0.9,11.5,19.3
387,16,thueringen,16063,wartburgkreis,0.6,5.9,8.1
388,16,thueringen,16064,unstrut-hainich-kreis,0.9,11.1,16.6
389,16,thueringen,16065,kyffhaeuserkreis,0.9,11.8,18.1
390,16,thueringen,16066,schmalkalden-meiningen,0.4,6.4,9.5
391,16,thueringen,16067,gotha,0.8,8.9,14.0
392,16,thueringen,16068,soemmerda,0.8,8.5,12.1
393,16,thueringen,16069,hildburghausen,0.6,5.7,7.7
394,16,thueringen,16070,ilm-kreis,1.1,9.0,13.5
395,16,thueringen,16071,weimarer land,0.8,7.8,11.2
