_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
359,14,sachsen,14626,goerlitz,921.8,478.5,55.0
360,14,sachsen,14627,meissen,666.6,622.4,61.4
361,14,sachsen,14628,saechsische schweiz-osterzgebirge,626.6,536.1,49.3
362,14,sachsen,14713,leipzig,996.9,635.5,79.8
363,14,sachsen,14729,leipzig,707.4,598.1,53.6
364,14,sachsen,14730,nordsachsen,1242.0,569.6,58.5
365,15,sachsen-anhalt,15001,dessau-rosslau,205.0,539.6,72.9
366,15,sachsen-anhalt,15002,halle (saale),1761.0,487.6,69.7
367,15,sachsen-anhalt,15003,magdeburg,476.5,638.7,85.0
368,15,sachsen-anhalt,15081,altmarkkreis salzwedel,930.7,530.8,48.2
369,15,sachsen-anhalt,15082,anhalt-bitterfeld,1675.7,597.6,58.1
370,15,sachsen-anhalt,15083,boerde,678.4,645.7,56.8
371,15,sachsen-anhalt,15084,burgenlandkreis,1038.0,770.4,50.8
372,15,sachsen-anhalt,15085,harz,1635.6,527.7,54.1
373,15,sachsen-anhalt,15086,jerichower land,1135.8,542.4,46.7
374,15,sachsen-anhalt,15087,mansfeld-suedharz,2032.6,421.7,42.4
375,15,sachsen-anhalt,15088,saalekreis,1034.4,865.7,61.6
376,15,sachsen-anhalt,15089,salzlandkreis,1941.3,523.8,51.1
377,15,sachsen-anhalt,15090,stendal,1286.9,471.7,46.5
378,15,sachsen-anhalt,15091,wittenberg,1634.1,533.3,52.5
379,16,thueringen,16051,erfurt,587.7,665.6,87.6
380,16,thueringen,16052,gera,1458.4,516.1,70.7
381,16,thueringen,16053,jena,181.8,732.0,74.6
382,16,thueringen,16054,suhl,462.9,625.6,83.9
383,16,thueringen,16055,weimar,1140.4,536.9,53.8
384,16,thueringen,16056,eisenach,571.1,602.1,92.0
385,16,thueringen,16061,eichsfeld,636.7,524.5,46.7
386,16,thueringen,16062,nordhausen,1018.9,495.8,56.1
